# SEVEN WONDERS CARD LIST (6 players)
#
# Generated from cards.txt. Copy counts are exact for this player count.
# Guilds: 8 of the 10 guilds below are included each game.
#
Format:
Card Name (card_id) | Color | Cost | Benefit | Chains | Copies

### AGE 1
Lumber Yard (lumber_yard) | Brown | Free | +1 wood | None | 2
Ore Vein (ore_vein) | Brown | Free | +1 ore | None | 2
Stone Pit (stone_pit) | Brown | Free | +1 stone | None | 2
Clay Pool (clay_pool) | Brown | Free | +1 brick | None | 2
Clay Pit (clay_pit) | Brown | 1 coin | +1 ore or +1 brick | None | 1
Timber Yard (timber_yard) | Brown | 1 coin | +1 wood or +1 stone each turn | None | 1
Excavation (excavation) | Brown | 1 coin | +1 stone or +1 brick each turn | None | 1
Forest Cave (forest_cave) | Brown | 1 coin | +1 wood or +1 ore each turn | None | 1
Tree Farm (tree_farm) | Brown | 1 coin | +1 tree or +1 brick each turn | None | 1
Mine (mine) | Brown | 1 coin | +1 ore or +1 stone each turn | None | 1
Glassworks (glassworks) | Gray | Free | +1 glass | None | 2
Press (press) | Gray | Free | +1 paper | None | 2
Loom (loom) | Gray | Free | +1 cloth | None | 2
Well (well) | Blue | Free | +3 points | to statue | 1
Altar (altar) | Blue | Free | +3 points | to pantheon | 2
Theater (theater) | Blue | Free | +3 points | to gardens | 2
Baths (baths) | Blue | [stone] | +3 points | to aqueduct | 1
Tavern (tavern) | Yellow | Free | +5 coins | None | 2
Marketplace (marketplace) | Yellow | Free | buy [paper, glass, cloth] from either neighbor for 1 coin instead of 2 | to caravansery | 2
West Trading Post (west_trading_post) | Yellow | Free | buy [wood, stone, brick, ore] from left_neighbor for 1 coin instead of 2 | to forum | 1
East Trading Post (east_trading_post) | Yellow | Free | buy [wood, stone, brick, ore] from right_neighbor for 1 coin instead of 2 | to forum | 1
Guard Tower (guard_tower) | Red | [brick] | +1 military | None | 2
Barracks (barracks) | Red | [ore] | +1 military | None | 2
Stockade (stockade) | Red | [wood] | +1 military | None | 1
Scriptorium (scriptorium) | Green | [paper] | +1 tablet | to courthouse, to library | 2
Apothecary (apothecary) | Green | [cloth] | +1 compass | to stables, to dispensary | 2
Workshop (workshop) | Green | [glass] | +1 cog | to archery_range, to laboratory | 1

### AGE 2
Sawmill (sawmill) | Brown | 1 coin | +2 wood | None | 2
Quarry (quarry) | Brown | 1 coin | +2 stone | None | 2
Brickyard (brickyard) | Brown | 1 coin | +2 brick | None | 2
Foundry (foundry) | Brown | 1 coin | +2 ore | None | 2
Glassworks (glassworks) | Gray | Free | +1 glass | None | 2
Press (press) | Gray | Free | +1 paper | None | 2
Loom (loom) | Gray | Free | +1 cloth | None | 2
Statue (statue) | Blue | [ore, ore, wood] | +4 points | from well | 1
Aqueduct (aqueduct) | Blue | [stone, stone, stone] | +5 points | from baths | 1
Courthouse (courthouse) | Blue | [brick, brick, cloth] | +4 points | from scriptorium | 2
Temple (temple) | Blue | [wood, brick, glass] | +4 points | None | 2
Caravansery (caravansery) | Yellow | [wood, wood] | +1 wood or +1 stone or +1 brick or +1 ore each turn | from marketplace, to lighthouse | 3
Forum (forum) | Yellow | [brick, brick] | +1 glass or +1 paper or +1 cloth each turn | from east_trading_post, from west_trading_post, to haven | 2
Vineyard (vineyard) | Yellow | Free | +1 coin for all of your and your neighbors' brown cards | None | 2
Bazaar (bazaar) | Yellow | Free | +2 coins for all of your and your neighbor's gray cards | None | 1
Stables (stables) | Red | [wood, ore, brick] | +2 military | from apothecary | 2
Archery Range (archery_range) | Red | [wood, wood, ore] | +2 military | from workshop | 2
Walls (walls) | Red | [stone, stone, stone] | +2 military | to fortifications | 1
